Kachelname;Aktualitaet;Bildflugnummer;Koordinatenursprung_East;Koordinatenursprung_North
dop10rgbi_32_417_5783_1_nw;2019-06-27;nn;417000;5783000
dop10rgbi_32_418_5778_1_nw;2019-08-23;nn;418000;5778000
dop10rgbi_32_418_5779_1_nw;2019-08-23;nn;418000;5779000
dop10rgbi_32_418_5780_1_nw;2019-06-27;nn;418000;5780000
dop10rgbi_32_419_5778_1_nw;2019-08-23;nn;419000;5778000
dop10rgbi_32_419_5779_1_nw;2019-08-23;nn;419000;5779000
dop10rgbi_32_419_5780_1_nw;2019-06-27;nn;419000;5780000
dop10rgbi_32_420_5778_1_nw;2019-08-23;nn;420000;5778000
dop10rgbi_32_420_5779_1_nw;2019-08-23;nn;420000;5779000
dop10rgbi_32_420_5780_1_nw;2019-06-27;nn;420000;5780000
dop10rgbi_32_421_5778_1_nw;2019-08-23;nn;421000;5778000
dop10rgbi_32_421_5779_1_nw;2019-08-23;nn;421000;5779000
dop10rgbi_32_421_5782_1_nw;2019-06-27;nn;421000;5782000
dop10rgbi_32_422_5778_1_nw;2019-08-23;nn;422000;5778000
dop10rgbi_32_422_5779_1_nw;2019-08-23;nn;422000;5779000
dop10rgbi_32_423_5778_1_nw;2019-08-23;nn;423000;5778000
dop10rgbi_32_423_5779_1_nw;2019-08-23;nn;423000;5779000
dop10rgbi_32_408_5787_1_nw;2019-06-27;nn;408000;5787000
dop10rgbi_32_408_5788_1_nw;2019-06-27;nn;408000;5788000
dop10rgbi_32_408_5789_1_nw;2019-06-27;nn;408000;5789000
dop10rgbi_32_409_5785_1_nw;2019-06-27;nn;409000;5785000
dop10rgbi_32_409_5786_1_nw;2019-06-27;nn;409000;5786000
dop10rgbi_32_409_5787_1_nw;2019-06-27;nn;409000;5787000
dop10rgbi_32_409_5789_1_nw;2019-06-27;nn;409000;5789000
dop10rgbi_32_410_5785_1_nw;2019-06-27;nn;410000;5785000
dop10rgbi_32_410_5786_1_nw;2019-06-27;nn;410000;5786000
dop10rgbi_32_411_5785_1_nw;2019-06-27;nn;411000;5785000
dop10rgbi_32_411_5787_1_nw;2019-06-27;nn;411000;5787000
dop10rgbi_32_412_5785_1_nw;2019-06-27;nn;412000;5785000
dop10rgbi_32_412_5787_1_nw;2019-06-27;nn;412000;5787000
dop10rgbi_32_413_5784_1_nw;2019-06-27;nn;413000;5784000
dop10rgbi_32_413_5789_1_nw;2019-06-27;nn;413000;5789000
dop10rgbi_32_414_5784_1_nw;2019-06-27;nn;414000;5784000
dop10rgbi_32_414_5789_1_nw;2019-06-27;nn;414000;5789000
dop10rgbi_32_415_5784_1_nw;2019-06-27;nn;415000;5784000
dop10rgbi_32_415_5789_1_nw;2019-06-27;nn;415000;5789000
dop10rgbi_32_416_5784_1_nw;2019-06-27;nn;416000;5784000
dop10rgbi_32_416_5789_1_nw;2019-06-27;nn;416000;5789000
